Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
KAMEREO,https://www.crunchbase.com/organization/kamereo,"E-Commerce, Food and Beverage, Marketplace, Restaurants",Purchasing platform and Tech-enable Veggie supply for Restaurants in Vietnam,"43,881",11-50,2019-01-07,2018-06-01,month,https://www.linkedin.com/company/kamereo/,http://www.kamereo.vn,info@kamereo.vn,,,Taku Tanaka,Seed,Seed,,,1,"Genesia Ventures, Velocity Ventures Vietnam (’VVV’)",,,,,500000,USD,500000
eola,https://www.crunchbase.com/organization/eola,"E-Commerce, Internet, Tourism",Discover and book activities online online. Do less to do more with eola,"44,370",1-10,2019-01-23,2017-06-09,day,https://www.linkedin.com/company/11154187/,https://eola.co,callum@eola.co.uk,,,"Callum Hemsley, Daniel Steele",Seed,Seed,,,2,"London Co-Investment Fund, Startup Funding Club",,,,,258000,GBP,337519
Click-Storm esports,https://www.crunchbase.com/organization/click-storm-esports,"E-Commerce, Internet, Social Media, Sports",Click-Storm is tournament platform with community tools,"44,428",11-50,2019-02-01,2014-03-21,day,https://www.linkedin.com/company/click-storm,https://click-storm.com,alex@click-storm.com,,,Alex Talan,Seed,Seed,,,1,"Ruvento, Internet Initiatives Development Fund (IIDF)",,,,,300000,USD,300000
"RDCL Superfoods, Inc.",https://www.crunchbase.com/organization/rdcl-superfoods-inc,"E-Commerce, Food and Beverage, Personal Health, Wellness","Powerful, personalized superfoods","44,452",1-10,2019-05-01,2018-10-15,day,https://www.linkedin.com/company/rdcl-life/,https://rdclsuperfoods.com,hello@rdclsuperfoods.com,,,"Donny Makower, Tyler Malin, Zak Zaidman",Pre-Seed,Seed,,,3,,,,,,500000,USD,500000
Ona Therapeutics,https://www.crunchbase.com/organization/ona-therapeutics,"E-Commerce, Health Care",Desarrollando un nuevo medicamento para el tratamiento del cáncer metastásico,"44,954",,2019-05-21,2019-01-01,year,https://www.linkedin.com/company/ona-therapeutics/,https://ona-therapeutics.com,,,,"Salvador Aznar Benitah, Valerie Vanhooren",Seed,Seed,,,2,Asabys Partners,,,,,1500000,EUR,1674667
Adigica Health,https://www.crunchbase.com/organization/adigica-health,"Consumer Goods, E-Commerce",Adigica Health is an e-commerce company focused on the development & marketing of innovative healthcare products sold directly to consumers.,"45,000",1-10,2019-01-23,2016-01-01,year,https://in.linkedin.com/company/adigica-health,http://www.adigicahealth.com/,info@adigicahealth.com,(858) 252-6434,,,Venture - Series Unknown,,,,,,,,,,11197000,USD,11197000
Pixielane,https://www.crunchbase.com/organization/pixielane,E-Commerce,"PixieLane consultants provide a personalized, stress-free, in-home shopping experience.","45,068",11-50,2019-01-02,2018-01-01,year,https://www.in.linkedin.com/company/pixielane,https://www.pixielane.com/,,,,,Debt Financing,,,,,,,,,,1000000,USD,1000000
The Volte,https://www.crunchbase.com/organization/the-volte-2,"E-Commerce, Fashion, Lifestyle, Tourism, Travel",Peer-to-Peer Designer Fashion Rental Marketplace,"45,218",1-10,2019-04-04,2016-07-01,month,,https://www.thevolte.com,support@thevolte.com,,,BERNADETTE OLIVIER,Seed,Seed,,,1,,,,,,700000,USD,700000
Loro,https://www.crunchbase.com/organization/wishper,"E-Commerce, Mobile Apps, Retail, Shopping Mall, Social Network, Social Shopping","Loro transforms “brick-and-mortar” shopping malls into “bricks-and-clicks” businesses, engaging customers to physical and digital channels.","45,379",11-50,2019-05-13,2017-01-01,year,https://www.linkedin.com/company/wishper/,http://loro.com.co,camilo@loro.com.co,,,"Camilo Tobon, Juan Saravia",Series A,Early Stage Venture,,,2,MILL,,,,,,,
TutorNerd,https://www.crunchbase.com/organization/tutornerd,"E-Commerce, Education, Internet, Tutoring, Video Chat",TutorNerd is an education technology company providing one-on-one online tutoring to students nationwide.,"45,561",51-100,2019-02-10,2019-02-10,day,https://www.linkedin.com/company/tutornerd,https://tutornerd.com,info@tutornerd.com,949-813-9286,,Adam Sadri,Seed,Seed,,,1,,,,,,350000,USD,350000
Don’t Scratch Your Head (DSYH),https://www.crunchbase.com/organization/don-t-scratch-your-head-dsyh,"E-Commerce, Information Technology, Internet",E-Commerce Seller & E-Tailer perspective,"45,927",1-10,2019-01-01,2015-01-01,year,https://www.linkedin.com/company/dsyh,http://www.dsyh.in/,skaranji@gmail.com,+09723037000,,"Harshad Vagdoda, Sumit Karanji, Suraj Vazirani",Venture - Series Unknown,,,,3,"Venture Catalysts, Artha India Ventures, GenNext Ventures",,,,,,,
Digital Manager Guru,https://www.crunchbase.com/organization/digital-manager-guru,"Analytics, E-Commerce, Information Technology, Internet, Retail Technology, Software",Built a more profitable digital business using our intelligence and metrics,"45,954",11-50,2019-02-28,2017-07-17,day,https://www.linkedin.com/company/digitalmanagerguru/,https://digitalmanager.guru,meajuda@digitalmanager.guru,+351 934 898 326,,"Andre Lado Cruz, Michelle Oliveira",Seed,Seed,,,2,Portugal Ventures,,,,,300000,EUR,341225
"Kenz, Inc.",https://www.crunchbase.com/organization/kenz-inc,"E-Commerce, Fashion, Lingerie",E-commerce site selling lingerie in the Middle East. ,"45,997",1-10,2019-02-01,2015-01-01,year,https://www.linkedin.com/company/9442107/,https://kenzwoman.com/,hello@kenzwoman.com,+971524298278,,Christina Ganim,Debt Financing,Seed,,,1,"500 Startups, Ibtikar Fund",,,,,50000,USD,50000
Harper Wilde,https://www.crunchbase.com/organization/harper-wilde,"Consumer Goods, E-Commerce, Fashion, Lingerie, Women's",Harper Wilde owns and operates an online portal for shopping lingerie.,"46,068",1-10,2019-05-01,2016-01-01,year,https://www.linkedin.com/company/harperwilde,https://harperwilde.com/,hello@harperwilde.com,979-316-2039,,"Jane Fisher, Jenna Kerner",Seed,Seed,,,2,"BAM Ventures, CRV, M Ventures, Andre Iguodala, Victress Capital",,,,,3000000,USD,3000000
Odiggo,https://www.crunchbase.com/organization/odiggo,"Automotive, E-Commerce, Mobile Apps","Website , Mobile App , Spare Parts","46,120",11-50,2019-05-07,2017-10-27,day,https://www.linkedin.com/company/odiggo/,https://odiggo.com,aomar@odiggo.com,+201119475777,,Ahmed Omar,Seed,Seed,,,1,Saeed Al Jaberi,,,,,180000,USD,180000
Bubays,https://www.crunchbase.com/organization/bubays,"Agriculture, Delivery, E-Commerce, Food and Beverage, Health Care, Hospitality",Bubays provides young families with healthy fresh baby food delivered directly to their home.,"46,187",1-10,2019-04-29,2019-04-05,day,https://www.linkedin.com/company/nutrination-pte-ltd/about/?viewAsMember=true,https://www.bubays.id,hello@bubays.id,,,"Faiz Ghifari, Ifatul Khasanah",Pre-Seed,Seed,,,2,Antler,,,,,100000,USD,100000
Woke,https://www.crunchbase.com/organization/woke-cfbe,"E-Commerce, Finance, Financial Services",Woke is a Finances ad campaigns for budding eCommerce brands and helps them grow in exchange for a cut of the profits.,"46,454",,2019-03-18,2019-01-01,year,,https://www.onwoke.com/,founders@wokebank.com,,,,Seed,Seed,,,,Y Combinator,,,,,150000,USD,150000
JAMJA,https://www.crunchbase.com/organization/jamja,"E-Commerce, Lead Generation, Online Portals, Shopping",JAMJA is a promotion boosting platform that help merchant to drive more traffic and sale (online store and brick-and-mortar store),"46,784",,2019-01-22,2015-03-13,day,,https://jamja.vn/,xinchao@jamja.vn,+84 90 222 03 26,,Le Hung Viet,Seed,Seed,,,1,"CyberAgent Capital, KB Investment, Foody, Bon Angels Venture Partners, Nextrans",,,,,1000000,USD,1000000
Purewine,https://www.crunchbase.com/organization/purewine,"E-Commerce, Internet, Nanotechnology, Wine And Spirits","Purevino is an online store that offers wine deals based on price, preference, and location.","47,076",1-10,2019-01-01,2014-01-01,year,,https://drinkpurewine.com,wanda@drinkpurewine.com,(817)933-5151,,David Meadows,Venture - Series Unknown,,,,1,"Keiretsu Forum, Health Wildcatters",,,,,50000,USD,50000
Big Bad Wolf,https://www.crunchbase.com/organization/big-bad-wolf,"Advertising, Augmented Reality, E-Commerce, Marketing, Software, Virtual Reality",the brandtech agency,"47,082",11-50,2019-05-14,2012-01-03,day,https://www.linkedin.com/company/big-bad-wolf/,https://www.bigbadwolf.be/en/,info@bigbadwolf.be,+32(0)2 318 84 58,,"Laurent Monnoyer, Nicolas Monnoyer",Seed,Seed,,,2,"Digital Attraxion, Wallimage Entreprises, Olivier Coune",,,,1,360000,EUR,403320
Grupo KPG,https://www.crunchbase.com/organization/grupo-kpg,"E-Commerce, FinTech, Information Technology, Logistics, Pharmaceutical","Saas, Payment, Manufacture, Pharmaceutical, E-commerce, Marketplace, Logistics","47,132",101-250,2019-05-05,2017-12-11,day,,https://www.grupokpg.com,suporte@grupokpg.com,+553332717990,,Shirleyson Kaisser,Series A,Early Stage Venture,,,1,Shirleyson Kaisser,,,,,16000000,BRL,4062876
Nemesis Labs Inc.,https://www.crunchbase.com/organization/nemesis-labs-inc,"Consulting, E-Commerce, Education, Information Technology, Internet, Manufacturing, Software","Nemesis Labs Inc. Is a technology company with headquarter in Mohali, Punjab. It develops, manufactures and distributes computer software.","47,143",1-10,2019-04-01,2019-03-30,day,,http://www.nemesislabs.com,,+917814233601,,Anindya Chakrabarty,Seed,Seed,,,1,,,,,,1000000,USD,1000000
Telmie,https://www.crunchbase.com/organization/telmie,"E-Commerce, Education, Information Technology, Mobile",Telmie is a marketplace and a telecommunications platform that offers paid video chat and voice calls with experts in any field.,"47,353",1-10,2019-04-19,2018-04-04,day,https://www.linkedin.com/company/telmie,https://telmie.com,hello@telmie.com,,,Mykola Adeyev,Seed,Seed,,,1,,,,,,465000,USD,465000
Bookis,https://www.crunchbase.com/organization/bookis,"E-Commerce, E-Commerce Platforms, Education, Shopping",Bookis is a social marketplace for books.,"47,437",,2019-01-28,2016-08-11,day,,https://www.bookis.com,,,,"Arne-Morten Willumsen, Lasse Brurok",Venture - Series Unknown,,,,2,,,,,,6000000,NOK,705209
Poizon,https://www.crunchbase.com/organization/poizon,"E-Commerce, Retail",Poizon is a secondary sneaker market platform,"47,512",,2019-04-29,2015-01-01,year,,https://poizon.com/,,,Unicorn,Yang Bing,Series A,Early Stage Venture,,,1,DST Global,,,,,,,
Lotus Scrubs,https://www.crunchbase.com/organization/lotus-scrubs,"E-Commerce, Fashion, Health Care",Lotus Scrubs,"47,695",1-10,2019-05-21,2018-01-01,year,https://www.linkedin.com/company/wearlotus,https://www.wearlotus.com/,hey@wearlotus.com,,,Kaustubh Varma,Seed,Seed,,,1,Jumpstart Foundry,,,,,150000,USD,150000
dotts,https://www.crunchbase.com/organization/dotts,"3D Printing, Audio, E-Commerce, Hardware, Wearables",dotts is a Digital Native Brand offering a whole new experience via fully customized and fast-fashion focused audio wearables.,"47,827",1-10,2019-03-10,2017-05-01,day,https://www.linkedin.com/company/dotts-audio/,https://dottsaudio.com,admin@dottsaudio.com,,,"Marta Provedo, Pablo Noguerol, Sergio Noguerol",Seed,Seed,,,3,,,,,,60000,EUR,67391
Salonkee,https://www.crunchbase.com/organization/salonkee,"E-Commerce, Fashion, Health Care, Lifestyle",All-in-one solution for beauty & hair salons,"48,500",,2019-01-16,2016-07-27,day,https://www.linkedin.com/company/salonkee/about/,http://www.salonkee.lu,,,,Alexandre Claro,Seed,Seed,,,1,Expon Capital,,,,,1000000,EUR,1139989
Missfits,https://www.crunchbase.com/organization/missfits,"E-Commerce, Lingerie, Retail",Missfits is bringing bra shopping into the modern era by using a data-driven approach to take the guesswork out of finding a bra that fits.,"48,593",1-10,2019-02-18,2018-07-12,day,https://www.linkedin.com/company/missfits-apparel-ltd/,https://www.missfits.co,hello@missfits.co,00393343584036,,Charlotte Chiang,Pre-Seed,Seed,,,1,Techstars,,,,,120000,USD,120000
Mhlatk,https://www.crunchbase.com/organization/mhlatk,"E-Commerce, Internet",E-commerce retail,"48,825",11-50,2019-01-03,2018-04-04,day,https://www.linkedin.com/company/mhlatk,https://mhlatk.com/,Ks@mhlatk.com,+971 52 306 0452,,,Venture - Series Unknown,,,,,,,,,,2100000,USD,2100000
Jumpstart,https://www.crunchbase.com/organization/jumpstart-128c,"Consumer Reviews, Customer Service, E-Commerce, SaaS, Small and Medium Businesses, Software, Unified Communications",Connecting Businesses to Modern Customers,"49,022",1-10,2019-05-01,2017-05-22,day,https://www.linkedin.com/company/gojumpstart/,https://www.gojumpstart.in,raghav@gojumpstart.in,9699702849,,"Qamar Siddiquie, Raghav Soni",Seed,Seed,,,2,Venture Catalysts,,,,,300000,USD,300000
YouMe (You and I),https://www.crunchbase.com/organization/youme-you-and-i,"E-Commerce, Health Care",YouMe is a net smoke brand .,"49,283",,2019-05-29,2017-01-01,year,,http://www.iyoume.com/,raosonghua@iyoume.com,0755-86958775- 8022,,,Angel,Seed,,,,,,,,,73600000,CNY,10644606
"COMUNITYmade, INC.",https://www.crunchbase.com/organization/comunitymade-inc,"E-Commerce, Manufacturing","E-Commerce, Retail, B2C, Makers, Footwear, Experiential, Community, Social Responsibility","49,395",1-10,2019-03-13,2017-08-26,day,https://www.linkedin.com/company/17992841/admin/,http://www.comunitymade.com,hello@comunitymade.com,310-567-3770,,"Sean Scott, Shannon Scott",Pre-Seed,Seed,,,2,AngelPad,,,,,120000,USD,120000
AWorld,https://www.crunchbase.com/organization/aworld,"Apps, E-Commerce, Education, Social Media, Software, Sustainability","AWorld is a social and economic platform that allows people, companies and organizations to collectively invest in the future of our planet.","49,611",1-10,2019-01-01,2018-03-01,day,https://www.linkedin.com/in/marcoarmellino/,https://aworld.org,info@aworld.org,+393394051701,,"Alessandro Armillotta, Alessandro Lancieri, Marco Armellino",Pre-Seed,Seed,,,3,,,,,,100000,USD,100000
Vishion,https://www.crunchbase.com/organization/vishion,"Analytics, Apps, E-Commerce, Fashion, Machine Learning, Mobile, Mobile Apps, Software",Vishion is a color search engine for a design lovers to find decor across brands,"49,616",1-10,2019-03-12,2017-11-10,day,https://www.linkedin.com/company/vishion/,http://www.vishion.co,info@vishion.co,571-353-4847,,"Gurtej Singh, Samantha Smith",Debt Financing,,,,2,,,,,,150000,USD,150000
Billink,https://www.crunchbase.com/organization/billink,"E-Commerce, Financial Services, Payments, Sales",Billink is an innovative after-sales payment solution for online retailers. ,"50,229",11-50,2019-01-11,2011-01-01,year,https://www.linkedin.com/company/2504201,https://www.billink.nl,info@billink.nl,06 - 24 18 01 51,,"Laurens Withagen, Niels de Peuter",Venture - Series Unknown,,,,2,Rabo&Crowd,,,,,1000000,EUR,1146650
Chepe & Pepe,https://www.crunchbase.com/organization/chepe-pepe,"Consulting, E-Commerce, Information Technology",Professional Services Marketplace,"50,281",11-50,2019-01-18,2017-01-04,day,,http://www.chepeypepe.com,gerente@chepeypepe.com,+573148874828,,,Angel,Seed,,,,,,,,,330000,USD,330000
Producteca,https://www.crunchbase.com/organization/producteca,"Computer, E-Commerce, Information Services, Information Technology, Internet, Retail, SaaS, Software",Producteca is a SaaS company that gives companies the ability to manage their online sales across different marketplaces.,"50,717",11-50,2019-01-07,2009-01-01,year,https://www.linkedin.com/company/producteca/,https://www.producteca.com,info@producteca.com,+54 (11) 5368-0401,,"Andrés Kirschbaum, Pablo Altamira",Convertible Note,Seed,,,2,"Wayra, Start-Up Chile, Jaguar Ventures, Mercado Libre Fund, INNOGEN Venture Capital",,,,,500000,USD,500000
ami Lab,https://www.crunchbase.com/organization/ami-lab,"Advertising, Artificial Intelligence, E-Commerce",Ami Lab unveils key facial features through machine learning on a database of models.,"50,942",1-10,2019-05-08,2019-03-01,month,https://www.linkedin.com/company/ami-lab/about/,https://www.ami-lab.co/,info@ami-lab.co,,,"Charlotta Kjellstrand, Peter Xiong",Pre-Seed,Seed,,,2,Antler,,,,,110000,USD,110000
Pantri,https://www.crunchbase.com/organization/pantri-ltd,"Delivery, E-Commerce",Automated Grocery Replenishment utilising a new wave of #SmartKitchen appliances & home delivery grocery retailers across the globe.,"51,094",1-10,2019-02-05,2015-08-03,day,,https://www.pantri.net,hi@pantri.net,,,"Ian Robinson, James Hannam, Thomas Cooper",Pre-Seed,Seed,,,3,,,,,,120000,USD,120000
Yellzz,https://www.crunchbase.com/organization/yellzz,"Advertising, E-Commerce, Information Technology, Internet",Changing the rules of online customer interactions,"51,129",,2019-03-21,2017-01-01,year,,http://yellzz.com/,,,,,Venture - Series Unknown,,,,,"Israel Innovation Authority, Nielsen Innovate, Rami Bader",,,,,1000000,USD,1000000
LastCall,https://www.crunchbase.com/organization/last-call-5d36,"Apps, E-Commerce, Ticketing",Last minute tickets for cultural events,"51,175",,2019-04-10,2017-01-01,year,,http://www.getlastcall.com,contact@getlastcall.com,,,Pouria Ruhi,Seed,Seed,,,1,Innovation Norway,,,,,2300000,NOK,270711
Balodana,https://www.crunchbase.com/organization/balodana,"E-Commerce, E-Commerce Platforms, Fashion, Made to Order, Marketplace, Shopping",E-commerce Marketplace Exclusively for Women's Made-to-Measure and Bespoke Fashions,"51,258",1-10,2019-03-01,2018-05-23,day,https://www.linkedin.com/company/balodana/,https://balodana.com,inquiries@balodana.com,312-701-3262,,Dana Todd,Pre-Seed,Seed,,,1,,,,,,80000,USD,80000
